Size,Name,Manufacturer,Type,Damage Sustained (60s),Damage Burst,Damage Alpha,Damage Maximum,Damage Alpha Physical,Damage Alpha Energy,Damage Alpha Distortion,Damage RPM,Ammo Speed,Ammo Lifetime,Ammo Range,Ammo Quantity,Ammo Spread,Ammo Explosion Radius,Ammo Pellet Per Shot,Ammo Penetration Base Distance,Ammo Penetration Near Radius,Ammo Penetration Far Radius,Barrel Spin Time Up,Barrel Spin Time Down,Heat Per Shot,Heat Cooling Delay,Heat Cooling sec.,Overheat Max Round,Overheat Max Time,Overheat Cooldown,Capacitor Max Ammo,Capacitor Max Regen sec.,Capacitor Cooldown,Charge Action Charge Time,Charge Action Overcharge,Charge Action Overcharged,Charge Action Cooldown,Charge Modifiers Damage,Charge Modifiers Fire Rate,Charge Modifiers Ammo Speed,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Active,EM Emit Decay,IR Emit,Power Segment Usage Active,Power Segment Usage Min,Health,Damage Multipliers Max,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Lifetime,Self Repair Stun,Self Repair Use,Self Repair Time to Repair,Mass,K µSCU
2,Lightstrike II Cannon,Esperia,Laser Cannon,123.4,308.5,74,∞,0,74,0,250,1 800,1.28,2 304,∞,0.5 - 0.5,,1,1.2,0.06,0.12,,,,,,,,,25,3,1.27,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1.2,550,0.6,1,1,1,1,1,,1,29.1,20%,240,252
3,Lightstrike III Cannon,Esperia,Laser Cannon,184.7,461.7,110.8,∞,0,110.8,0,250,1 800,1.44,2 592,∞,0.5 - 0.5,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.33,,,,,,,,500 000,0,500 000,1s,619,0.15,0,0,1.5,550,0.6,1,1,1,1,1,,1,48,20%,600,756
4,Lightstrike IV Cannon,Esperia,Laser Cannon,277,692.5,166.2,∞,0,166.2,0,250,1 728,1.74,3 007,∞,0.5 - 0.5,,1,3,0.15,0.3,,,,,,,,,25,3,1.4,,,,,,,,500 000,0,500 000,1s,743,0.15,0,0,1.8,550,0.6,1,1,1,1,1,,1,79.2,20%,1 500,2 100
5,Lightstrike V Cannon,Esperia,Laser Cannon,414.5,1 036.1,248.7,∞,0,248.7,0,250,1 656,1.99,3 295,∞,0.5 - 0.5,,1,4.5,0.23,0.45,,,,,,,,,25,3,1.47,,,,,,,,500 000,0,500 000,1s,866,0.15,0,0,2.1,550,0.6,1,1,1,1,1,,1,131,20%,3 750,4 200
6,Lightstrike VI Cannon,Esperia,Laser Cannon,623.6,1 558.9,374.1,∞,0,374.1,0,250,1 584,2.27,3 596,∞,0.5 - 0.5,,1,7.5,0.38,0.75,,,,,,,,,25,3,1.54,,,,,,,,500 000,0,500 000,1s,990,0.15,0,0,2.4,550,0.6,1,1,1,1,1,,1,216,20%,9 380,7 560
1,"M2C ""Swarm"" (Point Defense Cannon)",Behring,Laser Repeater,75,166.7,10,∞,0,10,0,1 000,1 800,1.11,1 998,∞,0.1 - 0.1,,1,0.3,0.02,0.03,,,,,,,,,75,15,0.605,,,,,,,,500 000,0,500 000,1s,143,0.15,0,0,0.352,800,0.6,1,1,1,1,1,,1,9.99,20%,36,0.001
1,M3A Cannon,Behring,Laser Cannon,211.8,303.8,182.3,∞,0,182.3,0,100,1 000,2,2 000,∞,0.4 - 0.4,,1,0.9,0.05,0.09,,,,,,,,,25,3,0.75,,,,,,,,500 000,0,500 000,1s,348,0.15,0,0,0.704,550,0.6,1,1,1,1,1,,1,14.1,20%,144,84
1,M3A Cannon Defense Division,Behring,Laser Cannon,211.8,303.8,182.3,∞,0,182.3,0,100,1 000,2,2 000,∞,0.4 - 0.4,,1,0.9,0.05,0.09,,,,,,,,,25,3,0.75,,,,,,,,500 000,0,500 000,1s,348,0.15,0,0,0.704,550,0.6,1,1,1,1,1,,1,14.1,20%,144,84
2,M4A Cannon,Behring,Laser Cannon,317.7,455.6,273.4,∞,0,273.4,0,100,1 000,2.3,2 300,∞,0.4 - 0.4,,1,1.2,0.06,0.12,,,,,,,,,25,3,0.75,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
2,M4A Cannon Defense Division,Behring,Laser Cannon,317.7,455.6,273.4,∞,0,273.4,0,100,1 000,2.3,2 300,∞,0.4 - 0.4,,1,1.2,0.06,0.12,,,,,,,,,25,3,0.75,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
3,M5A Cannon,Behring,Laser Cannon,463.4,683.6,410.2,∞,0,410.2,0,100,1 000,2.6,2 600,∞,0.4 - 0.4,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.33,,,,,,,,500 000,0,500 000,1s,644,0.15,0,0,1.3,1 024,0.6,1,1,1,1,1,,1,38.4,20%,900,756
3,M5A Cannon Defense Division,Behring,Laser Cannon,463.4,683.6,410.2,∞,0,410.2,0,100,1 000,2.6,2 600,∞,0.4 - 0.4,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.33,,,,,,,,500 000,0,500 000,1s,644,0.15,0,0,1.3,1 024,0.6,1,1,1,1,1,,1,38.4,20%,900,756
4,M6A Cannon,Behring,Laser Cannon,692.8,1 025.5,615.3,∞,0,615.3,0,100,960,3.13,3 005,∞,0.4 - 0.4,,1,3,0.15,0.3,,,,,,,,,25,3,1.4,,,,,,,,500 000,0,500 000,1s,792,0.15,0,0,1.6,2 000,0.6,1,1,1,1,1,,1,63.4,20%,2 250,2 100
5,M7A Cannon,Behring,Laser Cannon,1 034.3,1 536.3,921.8,∞,0,921.8,0,100,920,3.59,3 303,∞,0.4 - 0.4,,1,4.5,0.23,0.45,,,,,,,,,25,3,1.47,,,,,,,,500 000,0,500 000,1s,941,0.15,0,0,1.9,2 500,0.6,1,1,1,1,1,,1,105,20%,5 630,4 200
6,M8A Cannon,Behring,Laser Cannon,1 546.9,2 305.8,1 383.5,∞,0,1 383.5,0,100,880,4.09,3 599,∞,0.4 - 0.4,,1,7.5,0.38,0.75,,,,,,,,,25,3,1.54,,,,,,,,500 000,0,500 000,1s,1 090,0.15,0,0,2.2,4 224,0.6,1,1,1,1,1,,1,172,20%,14 100,7 560
6,M8A Cannon (Point Defense Turret),Behring,Laser Cannon,1 006.3,1 500,900,∞,0,900,0,100,1 144,6.82,7 802,∞,0.4 - 0.4,,1,7.5,0.38,0.75,,,,,,,,,25,3,1.54,,,,,,,,500 000,0,500 000,1s,1 090,0.15,0,0,2.2,4 224,0.6,1,1,1,1,1,,1,172,20%,14 100,7 560
7,M9A Cannon,Behring,Laser Cannon,2 311.7,3 459.5,2 075.7,∞,0,2 075.7,0,100,840,4.76,3 998,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.62,,,,,,,,500 000,0,500 000,1s,1 240,0.15,0,0,2.5,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
8,M9A Cannon,Behring,Laser Cannon,3 453.8,5 189.4,3 113.6,∞,0,3 113.6,0,100,800,5.63,4 504,∞,0.4 - 0.4,,1,13.5,0.68,1.35,,,,,,,,,25,3,1.7,,,,,,,,500 000,0,500 000,1s,1 390,0.15,0,0,2.8,10 810,0.6,1,1,1,1,1,,1,470,20%,87 900,54 600
9,M9A Cannon,Behring,Laser Cannon,5 157.4,7 784.1,4 670.5,∞,0,4 670.5,0,100,760,5,3 800,∞,0.4 - 0.4,,1,15,0.75,1.5,,,,,,,,,25,3,1.79,,,,,,,,500 000,0,500 000,1s,1 530,0.15,0,0,3.1,17 300,0.6,1,1,1,1,1,,1,775,20%,220 000,120 000
12,M9A Cannon,Behring,Ballistic Cannon,33 333.3,33 333.3,200 000,4 200 000,200 000,0,0,10,5 000,2,10 000,21,0.2 - 0.2,,1,63,3.15,6.3,,,0,1.41,17.2,,,8.69,,,,,,,,,,,500 000,0,500 000,1s,3 020,0.15,0,0,5.6,708 660,,,,,,,,1,4060,20%,6 870 000,120 000
7,M9A Cannon (Idris),Behring,Laser Cannon,7 517.5,11 250,6 750,∞,0,6 750,0,100,672,5.95,3 998,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.62,,,,,,,,500 000,0,500 000,1s,1 240,0.15,0,0,2.5,100 000,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
7,M9A Cannon (Javelin),Behring,Ballistic Cannon,461.3,3 843.9,2 306.3,636 549.8,2 306.3,0,0,100,756,5.29,3 999,276,0.4 - 0.4,,1,23.1,1.16,2.31,,,50 000,0.884,23.9,1,0.6,4.73,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
7,M9A Cannon (Point Defense Turret),Behring,Laser Cannon,11 700,14 040,14 040,∞,0,14 040,0,60,840,4.76,3 998,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.62,,,,,,,,500 000,0,500 000,1s,1 240,0.15,0,0,2.5,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
3,Mantis GT-220 Gatling,Gallenson Tactical Systems,Ballistic Gatling,374.4,506.7,19,81 966,19,0,0,1 600,1 600,1.63,2 608,4 314,0.6 - 0.6,,1,1.65,0.08,0.17,0.217,0.435,0.512,0.545,40,196,7.4,2.61,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,1 500,0.6,1,1,1,1,1,,1,22.4,20%,150,756
6,Maris Cannon,Roberts Space Industries,Ballistic Cannon,2 493.3,2 833.3,3 400,9 180 000,3 400,0,0,50,890,5.5,4 895,2 700,0.3 - 0.3,,1,9.9,0.5,0.99,,,6.667,1,10,22,26.4,4,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,5 600,0.6,1,1,1,1,1,,1,172,20%,600,7 560
1,"MRX ""Torrent"" (Point Defense Cannon)",Behring,Ballistic Gatling,288,360,18,270 000,18,0,0,1 200,1 600,1.25,2 000,15 000,0.15 - 0.15,,1,0.66,0.03,0.07,0.1,0.2,0.33,0.3,33,304,15.2,4,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,10.3,20%,115,84
2,MVSA Cannon,Behring,Laser Cannon,305.5,455,273,∞,0,273,0,100,1 300,1.77,2 301,∞,0.4 - 0.4,,1,1.2,0.06,0.12,,,,,,,,,25,3,1.52,,,,,,,,500 000,0,500 000,1s,708,0.15,0,0,1.43,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
1,NDB-26 Repeater,MaxOx,Neutron Repeater,195.7,316.5,38,∞,0,38,0,500,1 400,1.43,2 002,∞,0.55 - 0.55,,1,0.6,0.03,0.06,,,,,,,,,75,15,0.726,,,,,,,,500 000,0,500 000,1s,138,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,12.5,20%,16,84
2,NDB-28 Repeater,MaxOx,Neutron Repeater,292.4,474.8,57,∞,0,57,0,500,1 400,1.64,2 296,∞,0.55 - 0.55,,1,0.8,0.04,0.08,,,,,,,,,75,15,0.762,,,,,,,,500 000,0,500 000,1s,184,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,20.6,20%,40,252
3,NDB-30 Repeater,MaxOx,Neutron Repeater,437,712.5,85.5,∞,0,85.5,0,500,1 400,1.86,2 604,∞,0.55 - 0.55,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.8,,,,,,,,500 000,0,500 000,1s,230,0.15,0,0,0.75,1 024,0.6,1,1,1,1,1,,1,34,20%,100,756
1,NN-13 Cannon,MaxOx,Neutron Cannon,141.3,253,101.2,∞,0,101.2,0,150,1 400,1.43,2 002,∞,0.45 - 0.45,,1,0.28,0.05,0.07,,,,,,,,,25,3,0.5,,,,,,,,500 000,0,500 000,1s,205,0.15,0,0,0.6,550,0.6,1,1,1,1,1,,1,14.7,20%,32,84
2,NN-14 Cannon,MaxOx,Neutron Cannon,379.3,382,152.8,∞,0,152.8,0,150,1 400,1.64,2 296,∞,0.45 - 0.45,,1,0.34,0.06,0.08,,,,,,,,,90,2112,0.381,,,,,,,,500 000,0,500 000,1s,273,0.15,0,0,0.8,850,0.6,1,1,1,1,1,,1,24.2,20%,80,252
3,NN-15 Cannon,MaxOx,Neutron Cannon,310.8,551.8,220.7,∞,0,220.7,0,150,1 400,1.86,2 604,∞,0.45 - 0.45,,1,0.6,0.09,0.12,,,,,,,,,25,3,0.4,,,,,,,,500 000,0,500 000,1s,341,0.15,0,0,1,850,0.6,1,1,1,1,1,,1,40,20%,200,756
5,NV57 Ballistic Gatling,Behring,Ballistic Gatling,2 437.5,3 250,162.5,1 560 000,162.5,0,0,1 200,1 000,4,4 000,9 600,0.6 - 0.6,,1,3.3,0.17,0.33,0.95,1.75,0.35,0.5,25,286,14.3,5,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,4 224,0.6,1,1,1,1,1,,1,61,20%,380,7 560
1,Omnisky III Cannon,Amon & Reese Co.,Laser Cannon,135.7,243,97.2,∞,0,97.2,0,150,1 400,1.43,2 002,∞,0.45 - 0.45,,1,0.9,0.05,0.09,,,,,,,,,25,3,0.5,,,,,,,,500 000,0,500 000,1s,446,0.15,0,0,0.9,550,0.6,1,1,1,1,1,,1,14.1,20%,144,84
3,Omnisky IX Cannon,Amon & Reese Co.,Laser Cannon,305.3,546.8,218.7,∞,0,218.7,0,150,1 400,1.86,2 604,∞,0.45 - 0.45,,1,2.25,0.11,0.23,,,,,,,,,25,3,0.5,,,,,,,,500 000,0,500 000,1s,743,0.15,0,0,1.5,1 024,0.6,1,1,1,1,1,,1,38.4,20%,900,756
2,Omnisky VI Cannon,Amon & Reese Co.,Laser Cannon,203.5,364.5,145.8,∞,0,145.8,0,150,1 400,1.64,2 296,∞,0.45 - 0.45,,1,1.2,0.06,0.12,,,,,,,,,25,3,0.5,,,,,,,,500 000,0,500 000,1s,594,0.15,0,0,1.2,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
4,Omnisky XII Cannon,Amon & Reese Co.,Laser Cannon,457.7,819.7,327.9,∞,0,327.9,0,150,1 344,2.23,2 997,∞,0.45 - 0.45,,1,3,0.15,0.3,,,,,,,,,25,3,0.5,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1.3,1 650,0.6,1,1,1,1,1,,1,63.4,20%,280,2 100
5,Omnisky XV Cannon,Amon & Reese Co.,Laser Cannon,687,1 230.4,492.2,∞,0,492.2,0,150,1 288,2.57,3 310,∞,0.45 - 0.45,,1,4.5,0.23,0.45,,,,,,,,,25,3,0.5,,,,,,,,500 000,0,500 000,1s,1 040,0.15,0,0,2.1,2 500,0.6,1,1,1,1,1,,1,105,20%,5 630,4 200
6,Omnisky XVIII Cannon,Amon & Reese Co.,Laser Cannon,1 030.7,1 846,738.4,∞,0,738.4,0,150,1 232,2.92,3 597,∞,0.45 - 0.45,,1,7.5,0.38,0.75,,,,,,,,,25,3,0.5,,,,,,,,500 000,0,500 000,1s,1 190,0.15,0,0,2.4,4 224,0.6,1,1,1,1,1,,1,172,20%,14 100,7 560
3,Predator Scattergun,Apocalypse Arms,Ballistic ScatterGun,840,840,840,1 663 200,840,0,0,60,1 000,2,2 000,1 980,4 - 4,,8,1.32,0.07,0.13,,,0,0.182,24.2,,,0.87,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,44,20%,375,756
3,Predator Scattergun Sharkmouth Edition,Apocalypse Arms,Ballistic ScatterGun,840,840,840,1 663 200,840,0,0,60,1 000,2,2 000,1 980,4 - 4,,8,1.32,0.07,0.13,,,0,0.182,24.2,,,0.87,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,44,20%,375,756
3,PyroBurst Scattergun,Amon & Reese Co.,Laser ScatterGun,462,462,396,∞,0,396,0,70,1 200,2,2 400,∞,4 - 4,,8,0.6,0.03,0.06,,,,,,,,,75,15,0.364,,,,,,,,500 000,0,500 000,1s,450,0.15,0,0,1,1 550,0.6,1,1,1,1,1,,1,32,20%,450,756
3,Quarreler Cannon,Kruger Intergalatic,Laser Cannon,273.4,546.8,218.7,∞,0,218.7,0,150,1 400,1.86,2 604,∞,0.45 - 0.45,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.76,,,,,,,,500 000,0,500 000,1s,649,0.15,0,0,1.73,2 850,0.6,1,1,1,1,1,,1,48,20%,400,756
3,Reign-3 Repeater (Tumbril Storm),Hurston Dynamics,Laser Repeater,1 449.6,2 041.7,350,∞,0,350,0,350,1 000,5,5 000,∞,0.5 - 0.5,,1,0.75,0.04,0.08,,,,,,,,,75,15,0.8,,,,,,,,500 000,0,500 000,1s,320,0.15,0,0,0.863,1 024,0.6,1,1,1,1,1,,1,27.2,20%,150,756
4,Relentless L-21 Gatling,Kruger Intergalatic,Ballistic Gatling,588,997.5,63,264 600,63,0,0,950,1 650,1.82,3 003,4 200,0.6 - 0.6,,1,2.2,0.11,0.22,1.15,1.95,0.9,0.5,20,112,7.1,6,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,2 000,0.6,1,1,1,1,1,,1,46.2,20%,380,7 560
3,Revenant Gatling,Anvil Aerospace,Ballistic Gatling,829.8,1 054,52.7,187 980.9,52.7,0,0,1 200,1 050,2.7,2 835,3 567,0.518 - 0.518,,1,0.88,0.04,0.09,0.25,0.5,0.435,0.629,31.8,231,11.6,3.19,,,,,,,,,,,500 000,0,500 000,1s,30,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,17,20%,40,2 100
4,Revenant Gatling,Apocalypse Arms,Ballistic Gatling,910.7,1 266,63.3,231 678,63.3,0,0,1 200,1 200,2.5,3 000,3 660,0.525 - 0.525,,1,2.2,0.11,0.22,0.374,0.748,0.531,0.756,31.7,189,9.5,4.21,,,,,,,,,,,500 000,0,500 000,1s,33,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,50.8,20%,313,2 100
6,Revenant Gatling (Bengal),Behring,Ballistic Gatling,1 361,2 848.5,189.9,721 809.9,189.9,0,0,900,900,4,3 600,3 801,0.69 - 0.69,,1,5.5,0.28,0.55,0.331,0.661,2.37,0.631,34.6,43,2.9,3.29,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,16 500,,,,,,,,1,101,20%,2 340,0.001
8,RSI Medusa Cannon,Roberts Space Industries,Ballistic Cannon,3 450,4 500,5 400,4 860 000,5 400,0,0,50,900,6.2,5 580,900,0.25 - 0.25,,1,29.7,1.49,2.97,,,6.3,1.2,5.8,16,19.2,7,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,30 000,0.6,1,1,1,1,1,,1,470,20%,1 400,7 560
4,Salvation Distortion Scattergun,Preacher Armament,Distortion ScatterGun,480,480,480,∞,0,0,480,60,700,2,1 400,∞,4 - 4,20 - 25,8,1.12,0.06,0.11,,,,,,,,,75,15,0.382,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1.2,1 650,0.6,1,1,1,1,1,,1,52.8,20%,750,2 100
2,Scorpion GT-215 Gatling,Gallenson Tactical Systems,Ballistic Gatling,284,338.7,12.7,56 007,12.7,0,0,1 600,1 600,1.44,2 304,4 410,0.57 - 0.57,,1,0.88,0.04,0.09,0.189,0.378,0.348,0.519,42,288,10.8,2.42,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,13.6,20%,60,252
7,SF7B Gatling,Behring,Ballistic Gatling,3 486.5,4 380,292,874 248,292,0,0,900,900,4.44,3 996,2 994,0.655 - 0.655,,1,7.7,0.39,0.77,0.437,0.875,0.528,0.729,14.4,190,12.7,4.08,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,166,20%,5 860,14 200
7,SF7B Gatling (Wikelo),Behring,Ballistic Gatling,3 486.5,4 380,292,874 248,292,0,0,900,900,4.44,3 996,2 994,0.655 - 0.655,,1,7.7,0.39,0.77,0.437,0.875,0.528,0.729,14.4,190,12.7,4.08,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,166,20%,5 860,14 200
7,SF7E Cannon,Behring,Laser Cannon,3 912.5,4 720.8,5 150,∞,0,5 150,0,55,860,4.65,3 999,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.94,,,,,,,,500 000,0,500 000,1s,1 450,0.15,0,0,2.93,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
7,SF7E Cannon (Wikelo),Behring,Laser Cannon,3 912.5,4 720.8,5 150,∞,0,5 150,0,55,860,4.65,3 999,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.94,,,,,,,,500 000,0,500 000,1s,1 450,0.15,0,0,2.93,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
1,Singe Cannon (S1),Banu,Tachyon Cannon,101.3,121.5,202.5,∞,0,202.5,0,36,3 000,0.35,1 050,∞,0.1 - 0.1,,1,1.05,0.05,0.11,,,,,,,,,25,3,1.65,1,0,0,0,1,1,1,500 000,0,500 000,1s,594,0.15,0,0,1.2,550,0.6,1,1,1,1,1,,1,16.5,20%,192,84
2,Singe Cannon (S2),Banu,Tachyon Cannon,195.3,195.3,472.5,∞,0,472.5,0,24.8,3 000,0.4,1 200,∞,0.1 - 0.1,,1,1.4,0.07,0.14,,,,,,,,,25,3,1.73,1.75,0,0,0,1,1,1,500 000,0,500 000,1s,792,0.15,0,0,1.6,850,0.6,1,1,1,1,1,,1,27.2,20%,480,252
3,Singe Cannon (S3),Banu,Tachyon Cannon,318.9,318.9,1 012.5,∞,0,1 012.5,0,18.9,3 000,0.5,1 500,∞,0.1 - 0.1,,1,2.625,0.13,0.26,,,,,,,,,25,3,1.82,2.5,0,0,0,1,1,1,500 000,0,500 000,1s,990,0.15,0,0,2,1 024,0.6,1,1,1,1,1,,1,44.8,20%,1 200,756
5,Slayer Cannon,Hurston Dynamics,Ballistic Cannon,2 666.7,5 333.3,32 000,11 616 000,32 000,0,0,10,564,10.9,6 148,363,0.4 - 0.4,2.5 - 5,1,11.55,0.58,1.16,,,91 125,1.21,24.2,1,6,6.71,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,20 000,0.6,1,1,1,1,1,,1,122,20%,7 500,4 200
5,Slayer Cannon (Point Defense Turret) (Bengal),Roberts Space Industries,Ballistic Cannon,1 850,3 083.3,18 500,5 716 500,18 500,0,0,10,612,2.55,1 561,309,0.4 - 0.4,,1,9.9,0.5,0.99,,,91 125,0.802,26.4,1,6,4.06,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,20 000,0.6,1,1,1,1,1,,1,105,20%,5 630,4 200
3,Sledge III Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,249.4,249.4,1 125,114 750,1 125,0,0,13.3,3 000,0.5,1 500,102,0.2 - 0.2,,1,6.3,0.32,0.63,,,0,1,22.2,,,5,,,,2.5,0,0,0,1,1,1,500 000,0,500 000,1s,900,0.15,0,0,2,3 050,0.6,1,1,1,1,1,,1,56,20%,1 200,756
2,Sledge II Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,149.6,149.6,525,55 125,525,0,0,17.1,3 000,0.4,1 200,105,0.2 - 0.2,,1,3.36,0.17,0.34,,,0,0.952,23.3,,,4.63,,,,1.5,0,0,0,1,1,1,500 000,0,500 000,1s,720,0.15,0,0,1.6,2 050,0.6,1,1,1,1,1,,1,33.9,20%,480,252
1,Sledge I Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,75,75,225,23 625,225,0,0,20,3 000,0.35,1 050,105,0.2 - 0.2,,1,2.52,0.13,0.25,,,0,0.907,24.5,,,4.29,,,,1,0,0,0,1,1,1,500 000,0,500 000,1s,540,0.15,0,0,1.2,1 050,0.6,1,1,1,1,1,,1,20.6,20%,192,84
2,Strife Mass Driver Cannon,Apocalypse Arms,Ballistic Cannon,149.6,149.6,525,44 100,525,0,0,17.1,5 000,1.1,5 500,84,0.1 - 0.1,,1,3.36,0.17,0.34,,,0,1.24,28,,,6.71,,,,1.5,0,0,1,1,1,1,500 000,0,500 000,1s,792,0.15,0,0,1.6,1 050,0.6,1,1,1,1,1,,1,37.3,20%,600,252
1,Suckerpunch Cannon,Joker Engineering,Distortion Cannon,90.3,135,81,∞,0,0,81,100,1 300,1.54,2 000,∞,0.4 - 0.4,15 - 25,1,1.26,0.06,0.13,,,,,,,,,25,3,1.6,,,,,,,,500 000,0,500 000,1s,408,0.15,0,0,0.9,550,0.6,1,1,1,1,1,,1,14.1,20%,96,84
2,Suckerpunch-L Cannon,Joker Engineering,Distortion Cannon,134.9,202.5,121.5,∞,0,0,121.5,100,1 300,1.77,2 301,∞,0.4 - 0.4,18 - 28,1,1.68,0.08,0.17,,,,,,,,,25,3,1.68,,,,,,,,500 000,0,500 000,1s,545,0.15,0,0,1.2,850,0.6,1,1,1,1,1,,1,23.3,20%,240,252
3,Suckerpunch-XL Cannon,Joker Engineering,Distortion Cannon,201.9,304.2,182.5,∞,0,0,182.5,100,1 300,2,2 595,∞,0.4 - 0.4,20 - 30,1,3.15,0.16,0.32,,,,,,,,,25,3,1.76,,,,,,,,500 000,0,500 000,1s,681,0.15,0,0,1.5,1 024,0.6,1,1,1,1,1,,1,38.4,20%,600,756
1,SW16BR1 “Buzzsaw” Repeater,Behring,Ballistic Repeater,277.7,300,36,95 904,36,0,0,500,1 200,1.67,2 004,2 664,0.54 - 0.54,,1,0.66,0.03,0.07,,,0.667,0.33,39.2,150,18,1.49,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,525,0.6,1,1,1,1,1,,1,9.99,20%,36,84
2,SW16BR2 “Sawbuck” Repeater,Behring,Ballistic Repeater,413.8,450,54,142 398,54,0,0,500,1 200,1.92,2 304,2 637,0.57 - 0.57,,1,0.88,0.04,0.09,,,0.727,0.346,37.3,138,16.6,1.61,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,16.5,20%,90,252
3,SW16BR3 “Shredder” Repeater,Behring,Ballistic Repeater,616.3,675,81,209 709,81,0,0,500,1 200,2.17,2 604,2 589,0.6 - 0.6,,1,1.65,0.08,0.17,,,0.8,0.364,35.6,125,15,1.74,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 024,0.6,1,1,1,1,1,,1,27.2,20%,225,756
1,Tarantula GT-870 Mark 1 Cannon,Gallenson Tactical Systems,Ballistic Cannon,162.3,202.5,60.8,20 047.5,60.8,0,0,200,1 600,1.25,2 000,330,0.5 - 0.5,,1,1.98,0.1,0.2,,,3,0.66,32.1,34,10.2,2.98,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,550,0.6,1,1,1,1,1,,1,14.1,20%,144,84
2,Tarantula GT-870 Mark 2 Cannon,Gallenson Tactical Systems,Ballistic Cannon,238.9,304.2,91.3,29 842,91.3,0,0,200,1 600,1.44,2 304,327,0.5 - 0.5,,1,2.64,0.13,0.26,,,3,0.693,30.6,34,10.2,3.22,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
