Size,Name,Manufacturer,Type,Damage Sustained (60s),Damage Burst,Damage Alpha,Damage Maximum,Damage Alpha Physical,Damage Alpha Energy,Damage Alpha Distortion,Damage RPM,Ammo Speed,Ammo Lifetime,Ammo Range,Ammo Quantity,Ammo Spread,Ammo Explosion Radius,Ammo Pellet Per Shot,Ammo Penetration Base Distance,Ammo Penetration Near Radius,Ammo Penetration Far Radius,Barrel Spin Time Up,Barrel Spin Time Down,Heat Per Shot,Heat Cooling Delay,Heat Cooling sec.,Overheat Max Round,Overheat Max Time,Overheat Cooldown,Capacitor Max Ammo,Capacitor Max Regen sec.,Capacitor Cooldown,Charge Action Charge Time,Charge Action Overcharge,Charge Action Overcharged,Charge Action Cooldown,Charge Modifiers Damage,Charge Modifiers Fire Rate,Charge Modifiers Ammo Speed,Laser Beam Max Energy Draw Per sec.,Laser Beam Full Dmg Range,Laser Beam Zero Dmg Range,Laser Beam Heat Per sec.,Laser Beam Charge Up Time,Laser Beam Charge Down Time,Distortion Resistance Shutdown Dmg,Distortion Resistance Decay Delay,Distortion Resistance Decay Rate,Distortion Resistance Shutdown Time,EM Emit Active,EM Emit Decay,IR Emit Active,Power Segment Usage Min,Power Segment Usage Max,Health,Damage Multipliers Physical,Damage Multipliers Energy,Damage Multipliers Distortion,Damage Multipliers Thermal,Damage Multipliers Biochemical,Damage Multipliers Stun,Lifetime,Self Repair Use,Self Repair Time to Repair,Self Repair Health Ratio,Mass,K µSCU
3,Jericho XL,FireStorm Kinetics,Rocket POD,150,150,150,2 700,150,0,0,60,700,3,2 100,18,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,1 000,1,1,1,1,1,1,1 440,,,,280,756
3,Jericho XL,Hurston Dynamics,Rocket POD,150,150,150,5 400,150,0,0,60,700,3,2 100,36,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,1 000,1,1,1,1,1,1,1 440,,,,280,756
5,Leonids Cannon,Roberts Space Industries,Ballistic Cannon,1 360,1 811.2,1 600,1 152 000,1 600,0,0,67.9,1 112,4.5,5 004,720,0.2 - 0.2,,1,9.9,0.5,0.99,,,6,1.2,12,17,15,6.5,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,2 500,0.6,1,1,1,1,1,,1,105,20%,510,4 200
1,Liberator,Thermyte Concern,Rocket POD,150,150,150,1 200,150,0,0,60,700,3,2 100,8,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,500,1,1,1,1,1,1,1 440,,,,,84
2,Liberator Prime,Thermyte Concern,Rocket POD,150,150,150,2 400,150,0,0,60,700,3,2 100,16,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,750,1,1,1,1,1,1,1 440,,,,,252
3,Liberator Ultra,Thermyte Concern,Rocket POD,150,150,150,3 600,150,0,0,60,700,3,2 100,24,0 - 2,0.5 - 4,1,0,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,,,,,,1 000,1,1,1,1,1,1,1 440,,,,,756
1,Lightstrike I Cannon,Esperia,Laser Cannon,82.1,205.2,49.3,∞,0,49.3,0,250,1 200,1.67,2 004,∞,0.5 - 0.5,,1,0.9,0.05,0.09,,,,,,,,,25,3,1.21,,,,,,,,,,,,,,500 000,0,500 000,1s,371,0.15,0,0,0.9,550,0.6,1,1,1,1,1,,1,17.6,20%,96,84
2,Lightstrike II Cannon,Esperia,Laser Cannon,123.4,308.5,74,∞,0,74,0,250,1 196,1.81,2 165,∞,0.5 - 0.5,,1,1.2,0.06,0.12,,,,,,,,,25,3,1.27,,,,,,,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1.2,550,0.6,1,1,1,1,1,,1,29.1,20%,240,252
3,Lightstrike III Cannon,Esperia,Laser Cannon,184.7,461.7,110.8,∞,0,110.8,0,250,1 184,2.03,2 404,∞,0.5 - 0.5,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.33,,,,,,,,,,,,,,500 000,0,500 000,1s,619,0.15,0,0,1.5,550,0.6,1,1,1,1,1,,1,48,20%,600,756
4,Lightstrike IV Cannon,Esperia,Laser Cannon,277,692.5,166.2,∞,0,166.2,0,250,1 152,2.43,2 799,∞,0.5 - 0.5,,1,3,0.15,0.3,,,,,,,,,25,3,1.4,,,,,,,,,,,,,,500 000,0,500 000,1s,743,0.15,0,0,1.8,550,0.6,1,1,1,1,1,,1,79.2,20%,1 500,2 100
5,Lightstrike V Cannon,Esperia,Laser Cannon,414.5,1 036.1,248.7,∞,0,248.7,0,250,1 112,3.6,4 003,∞,0.5 - 0.5,,1,4.5,0.23,0.45,,,,,,,,,25,3,1.47,,,,,,,,,,,,,,500 000,0,500 000,1s,866,0.15,0,0,2.1,550,0.6,1,1,1,1,1,,1,131,20%,3 750,4 200
6,Lightstrike VI Cannon,Esperia,Laser Cannon,623.6,1 558.9,374.1,∞,0,374.1,0,250,1 080,5.56,6 005,∞,0.5 - 0.5,,1,7.5,0.38,0.75,,,,,,,,,25,3,1.54,,,,,,,,,,,,,,500 000,0,500 000,1s,990,0.15,0,0,2.4,550,0.6,1,1,1,1,1,,1,216,20%,9 380,7 560
1,"M2C ""Swarm"" (Point Defense Cannon)",Behring,Laser Repeater,75,166.7,10,∞,0,10,0,1 000,1 500,1.07,1 605,∞,0.1 - 0.1,,1,0.3,0.02,0.03,,,,,,,,,75,15,0.605,,,,,,,,,,,,,,500 000,0,500 000,1s,143,0.15,0,0,0.352,800,0.6,1,1,1,1,1,,1,9.99,20%,36,0.001
1,M3A Cannon,Behring,Laser Cannon,211.8,303.8,182.3,∞,0,182.3,0,100,1 200,1.67,2 004,∞,0.4 - 0.4,,1,0.9,0.05,0.09,,,,,,,,,25,3,0.75,,,,,,,,,,,,,,500 000,0,500 000,1s,348,0.15,0,0,0.704,550,0.6,1,1,1,1,1,,1,14.1,20%,144,84
1,M3A Cannon Defense Division,Behring,Laser Cannon,211.8,303.8,182.3,∞,0,182.3,0,100,1 200,1.67,2 004,∞,0.4 - 0.4,,1,0.9,0.05,0.09,,,,,,,,,25,3,0.75,,,,,,,,,,,,,,500 000,0,500 000,1s,348,0.15,0,0,0.704,550,0.6,1,1,1,1,1,,1,14.1,20%,144,84
2,M4A Cannon,Behring,Laser Cannon,317.7,455.6,273.4,∞,0,273.4,0,100,1 196,1.81,2 165,∞,0.4 - 0.4,,1,1.2,0.06,0.12,,,,,,,,,25,3,0.75,,,,,,,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
2,M4A Cannon Defense Division,Behring,Laser Cannon,317.7,455.6,273.4,∞,0,273.4,0,100,1 196,1.81,2 165,∞,0.4 - 0.4,,1,1.2,0.06,0.12,,,,,,,,,25,3,0.75,,,,,,,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
3,M5A Cannon,Behring,Laser Cannon,463.4,683.6,410.2,∞,0,410.2,0,100,1 184,2.03,2 404,∞,0.4 - 0.4,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.33,,,,,,,,,,,,,,500 000,0,500 000,1s,644,0.15,0,0,1.3,1 024,0.6,1,1,1,1,1,,1,38.4,20%,900,756
3,M5A Cannon Defense Division,Behring,Laser Cannon,463.4,683.6,410.2,∞,0,410.2,0,100,1 184,2.03,2 404,∞,0.4 - 0.4,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.33,,,,,,,,,,,,,,500 000,0,500 000,1s,644,0.15,0,0,1.3,1 024,0.6,1,1,1,1,1,,1,38.4,20%,900,756
4,M6A Cannon,Behring,Laser Cannon,692.8,1 025.5,615.3,∞,0,615.3,0,100,1 152,2.43,2 799,∞,0.4 - 0.4,,1,3,0.15,0.3,,,,,,,,,25,3,1.4,,,,,,,,,,,,,,500 000,0,500 000,1s,792,0.15,0,0,1.6,2 000,0.6,1,1,1,1,1,,1,63.4,20%,2 250,2 100
5,M7A Cannon,Behring,Laser Cannon,1 034.3,1 536.3,921.8,∞,0,921.8,0,100,1 112,3.6,4 003,∞,0.4 - 0.4,,1,4.5,0.23,0.45,,,,,,,,,25,3,1.47,,,,,,,,,,,,,,500 000,0,500 000,1s,941,0.15,0,0,1.9,2 500,0.6,1,1,1,1,1,,1,105,20%,5 630,4 200
6,M8A Cannon,Behring,Laser Cannon,1 546.9,2 305.8,1 383.5,∞,0,1 383.5,0,100,1 080,5.56,6 005,∞,0.4 - 0.4,,1,7.5,0.38,0.75,,,,,,,,,25,3,1.54,,,,,,,,,,,,,,500 000,0,500 000,1s,1 090,0.15,0,0,2.2,4 224,0.6,1,1,1,1,1,,1,172,20%,14 100,7 560
6,M8A Cannon (Point Defense Turret),Behring,Laser Cannon,1 006.3,1 500,900,∞,0,900,0,100,1 080,5.56,6 005,∞,0.4 - 0.4,,1,7.5,0.38,0.75,,,,,,,,,25,3,1.54,,,,,,,,,,,,,,500 000,0,500 000,1s,1 090,0.15,0,0,2.2,4 224,0.6,1,1,1,1,1,,1,172,20%,14 100,7 560
7,M9A Cannon,Behring,Laser Cannon,2 311.7,3 459.5,2 075.7,∞,0,2 075.7,0,100,1 048,6.95,7 284,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.62,,,,,,,,,,,,,,500 000,0,500 000,1s,1 240,0.15,0,0,2.5,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
8,M9A Cannon,Behring,Laser Cannon,3 453.8,5 189.4,3 113.6,∞,0,3 113.6,0,100,1 016,7.64,7 762,∞,0.4 - 0.4,,1,13.5,0.68,1.35,,,,,,,,,25,3,1.7,,,,,,,,,,,,,,500 000,0,500 000,1s,1 390,0.15,0,0,2.8,10 810,0.6,1,1,1,1,1,,1,470,20%,87 900,54 600
9,M9A Cannon,Behring,Laser Cannon,5 157.4,7 784.1,4 670.5,∞,0,4 670.5,0,100,992,7.98,7 916,∞,0.4 - 0.4,,1,15,0.75,1.5,,,,,,,,,25,3,1.79,,,,,,,,,,,,,,500 000,0,500 000,1s,1 530,0.15,0,0,3.1,17 300,0.6,1,1,1,1,1,,1,775,20%,220 000,120 000
12,M9A Cannon,Behring,Ballistic Cannon,33 333.3,33 333.3,200 000,4 200 000,200 000,0,0,10,924,12.99,12 003,21,0.2 - 0.2,,1,63,3.15,6.3,,,0,1.41,17.2,,,8.69,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,3 020,0.15,0,0,5.6,708 660,,,,,,,,1,4060,20%,6 870 000,120 000
7,M9A Cannon (Idris),Behring,Laser Cannon,7 517.5,11 250,6 750,∞,0,6 750,0,100,1 048,6.95,7 284,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.62,,,,,,,,,,,,,,500 000,0,500 000,1s,1 240,0.15,0,0,2.5,100 000,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
7,M9A Cannon (Javelin),Behring,Ballistic Cannon,461.3,3 843.9,2 306.3,636 549.8,2 306.3,0,0,100,1 048,8.68,9 097,276,0.4 - 0.4,,1,23.1,1.16,2.31,,,50 000,0.884,23.9,1,0.6,4.73,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
7,M9A Cannon (Point Defense Turret),Behring,Laser Cannon,11 700,14 040,14 040,∞,0,14 040,0,60,1 048,6.95,7 284,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.62,,,,,,,,,,,,,,500 000,0,500 000,1s,1 240,0.15,0,0,2.5,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
3,Mantis GT-220 Gatling,Gallenson Tactical Systems,Ballistic Gatling,374.4,506.7,19,81 966,19,0,0,1 600,1 332,1.8,2 398,4 314,0.6 - 0.6,,1,1.65,0.08,0.17,0.217,0.435,0.512,0.545,40,196,7.4,2.61,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,1 500,0.6,1,1,1,1,1,,1,22.4,20%,150,756
6,Maris Cannon,Roberts Space Industries,Ballistic Cannon,2 493.3,2 833.3,3 400,9 180 000,3 400,0,0,50,1 112,4.5,5 004,2 700,0.3 - 0.3,,1,9.9,0.5,0.99,,,6.667,1,10,22,26.4,4,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,5 600,0.6,1,1,1,1,1,,1,172,20%,600,7 560
1,"MRX ""Torrent"" (Point Defense Cannon)",Behring,Ballistic Gatling,288,360,18,270 000,18,0,0,1 200,1 350,1.48,1 998,15 000,0.15 - 0.15,,1,0.66,0.03,0.07,0.1,0.2,0.33,0.3,33,304,15.2,4,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,10.3,20%,115,84
2,MVSA Cannon,Behring,Laser Cannon,305.5,455,273,∞,0,273,0,100,1 196,1.81,2 165,∞,0.4 - 0.4,,1,1.2,0.06,0.12,,,,,,,,,25,3,1.52,,,,,,,,,,,,,,500 000,0,500 000,1s,708,0.15,0,0,1.43,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
1,NDB-26 Repeater,MaxOx,Neutron Repeater,195.7,316.5,38,∞,0,38,0,500,1 275,1.57,2 002,∞,0.55 - 0.55,,1,0.6,0.03,0.06,,,,,,,,,75,15,0.726,,,,,,,,,,,,,,500 000,0,500 000,1s,138,0.15,0,0,0.45,525,0.6,1,1,1,1,1,,1,12.5,20%,16,84
2,NDB-28 Repeater,MaxOx,Neutron Repeater,292.4,474.8,57,∞,0,57,0,500,1 270.8,1.7,2 160,∞,0.55 - 0.55,,1,0.8,0.04,0.08,,,,,,,,,75,15,0.762,,,,,,,,,,,,,,500 000,0,500 000,1s,184,0.15,0,0,0.6,850,0.6,1,1,1,1,1,,1,20.6,20%,40,252
3,NDB-30 Repeater,MaxOx,Neutron Repeater,437,712.5,85.5,∞,0,85.5,0,500,1 258,1.91,2 403,∞,0.55 - 0.55,,1,1.5,0.08,0.15,,,,,,,,,75,15,0.8,,,,,,,,,,,,,,500 000,0,500 000,1s,230,0.15,0,0,0.75,1 024,0.6,1,1,1,1,1,,1,34,20%,100,756
1,NN-13 Cannon,MaxOx,Neutron Cannon,141.3,253,101.2,∞,0,101.2,0,150,765,1.63,1 247,∞,0.45 - 0.45,,1,0.28,0.05,0.07,,,,,,,,,25,3,0.5,,,,,,,,,,,,,,500 000,0,500 000,1s,205,0.15,0,0,0.6,550,0.6,1,1,1,1,1,,1,14.7,20%,32,84
2,NN-14 Cannon,MaxOx,Neutron Cannon,215.6,382,152.8,∞,0,152.8,0,150,762.5,1.77,1 350,∞,0.45 - 0.45,,1,0.34,0.06,0.08,,,,,,,,,25,3,0.381,,,,,,,,,,,,,,500 000,0,500 000,1s,273,0.15,0,0,0.8,850,0.6,1,1,1,1,1,,1,24.2,20%,80,252
3,NN-15 Cannon,MaxOx,Neutron Cannon,310.8,551.8,220.7,∞,0,220.7,0,150,754.8,1.99,1 502,∞,0.45 - 0.45,,1,0.6,0.09,0.12,,,,,,,,,25,3,0.4,,,,,,,,,,,,,,500 000,0,500 000,1s,341,0.15,0,0,1,850,0.6,1,1,1,1,1,,1,40,20%,200,756
5,NV57 Ballistic Gatling,Behring,Ballistic Gatling,2 437.5,3 250,162.5,1 560 000,162.5,0,0,1 200,1 251,3.2,4 003,9 600,0.6 - 0.6,,1,3.3,0.17,0.33,0.95,1.75,0.35,0.5,25,286,14.3,5,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,4 224,0.6,1,1,1,1,1,,1,61,20%,380,7 560
1,Omnisky III Cannon,Amon & Reese Co.,Laser Cannon,135.7,243,97.2,∞,0,97.2,0,150,1 200,1.67,2 004,∞,0.45 - 0.45,,1,0.9,0.05,0.09,,,,,,,,,25,3,0.5,,,,,,,,,,,,,,500 000,0,500 000,1s,446,0.15,0,0,0.9,550,0.6,1,1,1,1,1,,1,14.1,20%,144,84
3,Omnisky IX Cannon,Amon & Reese Co.,Laser Cannon,305.3,546.8,218.7,∞,0,218.7,0,150,1 184,2.03,2 404,∞,0.45 - 0.45,,1,2.25,0.11,0.23,,,,,,,,,25,3,0.5,,,,,,,,,,,,,,500 000,0,500 000,1s,743,0.15,0,0,1.5,1 024,0.6,1,1,1,1,1,,1,38.4,20%,900,756
2,Omnisky VI Cannon,Amon & Reese Co.,Laser Cannon,203.5,364.5,145.8,∞,0,145.8,0,150,1 196,1.81,2 165,∞,0.45 - 0.45,,1,1.2,0.06,0.12,,,,,,,,,25,3,0.5,,,,,,,,,,,,,,500 000,0,500 000,1s,594,0.15,0,0,1.2,850,0.6,1,1,1,1,1,,1,23.3,20%,360,252
4,Omnisky XII Cannon,Amon & Reese Co.,Laser Cannon,457.7,819.7,327.9,∞,0,327.9,0,150,1 152,2.43,2 799,∞,0.45 - 0.45,,1,3,0.15,0.3,,,,,,,,,25,3,0.5,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0,1.3,1 650,0.6,1,1,1,1,1,,1,63.4,20%,280,2 100
5,Omnisky XV Cannon,Amon & Reese Co.,Laser Cannon,687,1 230.4,492.2,∞,0,492.2,0,150,1 112,3.6,4 003,∞,0.45 - 0.45,,1,4.5,0.23,0.45,,,,,,,,,25,3,0.5,,,,,,,,,,,,,,500 000,0,500 000,1s,1 040,0.15,0,0,2.1,2 500,0.6,1,1,1,1,1,,1,105,20%,5 630,4 200
6,Omnisky XVIII Cannon,Amon & Reese Co.,Laser Cannon,1 030.7,1 846,738.4,∞,0,738.4,0,150,1 080,5.56,6 005,∞,0.45 - 0.45,,1,7.5,0.38,0.75,,,,,,,,,25,3,0.5,,,,,,,,,,,,,,500 000,0,500 000,1s,1 190,0.15,0,0,2.4,4 224,0.6,1,1,1,1,1,,1,172,20%,14 100,7 560
3,Predator Scattergun,Apocalypse Arms,Ballistic ScatterGun,840,840,840,1 663 200,840,0,0,60,888,1.69,1 501,1 980,4 - 4,,8,1.32,0.07,0.13,,,0,0.182,24.2,,,0.87,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,44,20%,375,756
3,Predator Scattergun Sharkmouth Edition,Apocalypse Arms,Ballistic ScatterGun,840,840,840,1 663 200,840,0,0,60,888,1.69,1 501,1 980,4 - 4,,8,1.32,0.07,0.13,,,0,0.182,24.2,,,0.87,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,41,0.15,0,0.1,0.1,1 550,0.6,1,1,1,1,1,,1,44,20%,375,756
3,PyroBurst Scattergun,Amon & Reese Co.,Laser ScatterGun,462,462,396,∞,0,396,0,70,843.6,1.6,1 350,∞,4 - 4,,8,0.6,0.03,0.06,,,,,,,,,75,15,0.364,,,,,,,,,,,,,,500 000,0,500 000,1s,450,0.15,0,0,1,1 550,0.6,1,1,1,1,1,,1,32,20%,450,756
3,Quarreler Cannon,Kruger Intergalactic,Laser Cannon,273.4,546.8,218.7,∞,0,218.7,0,150,1 184,2.03,2 404,∞,0.45 - 0.45,,1,2.25,0.11,0.23,,,,,,,,,25,3,1.76,,,,,,,,,,,,,,500 000,0,500 000,1s,649,0.15,0,0,1.73,2 850,0.6,1,1,1,1,1,,1,48,20%,400,756
3,Reign-3 Repeater (Tumbril Storm),Hurston Dynamics,Laser Repeater,1 449.6,2 041.7,350,∞,0,350,0,350,1 480,1.3,1 924,∞,0.5 - 0.5,,1,0.75,0.04,0.08,,,,,,,,,75,15,0.8,,,,,,,,,,,,,,500 000,0,500 000,1s,320,0.15,0,0,0.863,1 024,0.6,1,1,1,1,1,,1,27.2,20%,150,756
4,Relentless L-21 Gatling,Kruger Intergalactic,Ballistic Gatling,588,997.5,63,264 600,63,0,0,950,1 296,2.16,2 799,4 200,0.6 - 0.6,,1,2.2,0.11,0.22,1.15,1.95,0.9,0.5,20,112,7.1,6,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,2 000,0.6,1,1,1,1,1,,1,46.2,20%,380,7 560
3,Revenant Gatling,Anvil Aerospace,Ballistic Gatling,829.8,1 054,52.7,187 980.9,52.7,0,0,1 200,1 345.5,1.61,2 166,3 567,0.518 - 0.518,,1,0.88,0.04,0.09,0.25,0.5,0.435,0.629,31.8,231,11.6,3.19,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,30,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,17,20%,40,2 100
4,Revenant Gatling,Apocalypse Arms,Ballistic Gatling,910.7,1 266,63.3,231 678,63.3,0,0,1 200,1 296,2.16,2 799,3 660,0.525 - 0.525,,1,2.2,0.11,0.22,0.374,0.748,0.531,0.756,31.7,189,9.5,4.21,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,33,0.15,0,0.1,0.1,1 650,0.6,1,1,1,1,1,,1,50.8,20%,313,2 100
6,Revenant Gatling (Bengal),Behring,Ballistic Gatling,1 361,2 848.5,189.9,721 809.9,189.9,0,0,900,1 215,4.94,6 002,3 801,0.69 - 0.69,,1,5.5,0.28,0.55,0.331,0.661,2.37,0.631,34.6,43,2.9,3.29,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,16 500,,,,,,,,1,101,20%,2 340,0.001
8,RSI Medusa Cannon,Roberts Space Industries,Ballistic Cannon,3 450,4 500,5 400,4 860 000,5 400,0,0,50,1 016,9.55,9 703,900,0.25 - 0.25,,1,29.7,1.49,2.97,,,6.3,1.2,5.8,16,19.2,7,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,0,0.15,0,0.1,0.1,30 000,0.6,1,1,1,1,1,,1,470,20%,1 400,7 560
4,Salvation Distortion Scattergun,Preacher Armament,Distortion ScatterGun,480,480,480,∞,0,0,480,60,777.6,1.35,1 050,∞,4 - 4,20 - 25,8,1.12,0.06,0.11,,,,,,,,,75,15,0.382,,,,,,,,,,,,,,500 000,0,500 000,1s,495,0.15,0,0,1.2,1 650,0.6,1,1,1,1,1,,1,52.8,20%,750,2 100
2,Scorpion GT-215 Gatling,Gallenson Tactical Systems,Ballistic Gatling,284,338.7,12.7,56 007,12.7,0,0,1 600,1 345.5,1.61,2 166,4 410,0.57 - 0.57,,1,0.88,0.04,0.09,0.189,0.378,0.348,0.519,42,288,10.8,2.42,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,850,0.6,1,1,1,1,1,,1,13.6,20%,60,252
7,SF7B Gatling,Behring,Ballistic Gatling,3 486.5,4 380,292,874 248,292,0,0,900,1 179,6.17,7 274,2 994,0.655 - 0.655,,1,7.7,0.39,0.77,0.437,0.875,0.528,0.729,14.4,190,12.7,4.08,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,166,20%,5 860,14 200
7,SF7B Gatling (Wikelo),Behring,Ballistic Gatling,3 486.5,4 380,292,874 248,292,0,0,900,1 179,6.17,7 274,2 994,0.655 - 0.655,,1,7.7,0.39,0.77,0.437,0.875,0.528,0.729,14.4,190,12.7,4.08,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,36,0.15,0,0.1,0.1,6 750,0.6,1,1,1,1,1,,1,166,20%,5 860,14 200
7,SF7E Cannon,Behring,Laser Cannon,3 912.5,4 720.8,5 150,∞,0,5 150,0,55,1 048,6.95,7 284,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.94,,,,,,,,,,,,,,500 000,0,500 000,1s,1 450,0.15,0,0,2.93,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
7,SF7E Cannon (Wikelo),Behring,Laser Cannon,3 912.5,4 720.8,5 150,∞,0,5 150,0,55,1 048,6.95,7 284,∞,0.4 - 0.4,,1,10.5,0.53,1.05,,,,,,,,,25,3,1.94,,,,,,,,,,,,,,500 000,0,500 000,1s,1 450,0.15,0,0,2.93,6 750,0.6,1,1,1,1,1,,1,285,20%,35 200,14 200
1,Singe Cannon (S1),Banu,Tachyon Cannon,101.3,121.5,202.5,∞,0,202.5,0,36,1 050,2.86,3 003,∞,0.1 - 0.1,,1,1.05,0.05,0.11,,,,,,,,,25,3,1.65,1,0,0,0,1,1,1,,,,,,,500 000,0,500 000,1s,594,0.15,0,0,1.2,550,0.6,1,1,1,1,1,,1,16.5,20%,192,84
2,Singe Cannon (S2),Banu,Tachyon Cannon,195.3,195.3,472.5,∞,0,472.5,0,24.8,1 046.5,3.1,3 244,∞,0.1 - 0.1,,1,1.4,0.07,0.14,,,,,,,,,25,3,1.73,1.75,0,0,0,1,1,1,,,,,,,500 000,0,500 000,1s,792,0.15,0,0,1.6,850,0.6,1,1,1,1,1,,1,27.2,20%,480,252
3,Singe Cannon (S3),Banu,Tachyon Cannon,318.9,318.9,1 012.5,∞,0,1 012.5,0,18.9,1 036,3.47,3 595,∞,0.1 - 0.1,,1,2.625,0.13,0.26,,,,,,,,,25,3,1.82,2.5,0,0,0,1,1,1,,,,,,,500 000,0,500 000,1s,990,0.15,0,0,2,1 024,0.6,1,1,1,1,1,,1,44.8,20%,1 200,756
5,Slayer Cannon,Hurston Dynamics,Ballistic Cannon,2 666.7,5 333.3,32 000,11 616 000,32 000,0,0,10,973,6.17,6 003,363,0.4 - 0.4,2.5 - 5,1,11.55,0.58,1.16,,,91 125,1.21,24.2,1,6,6.71,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,20 000,0.6,1,1,1,1,1,,1,122,20%,7 500,4 200
5,Slayer Cannon (Point Defense Turret) (Bengal),Roberts Space Industries,Ballistic Cannon,1 850,3 083.3,18 500,5 716 500,18 500,0,0,10,1 112,4.5,5 004,309,0.4 - 0.4,,1,9.9,0.5,0.99,,,91 125,0.802,26.4,1,6,4.06,,,,,,,,,,,,,,,,,500 000,0,500 000,1s,50,0.15,0,0.1,0.1,20 000,0.6,1,1,1,1,1,,1,105,20%,5 630,4 200
3,Sledge III Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,249.4,249.4,1 125,114 750,1 125,0,0,13.3,1 139.6,3.16,3 601,102,0.2 - 0.2,,1,6.3,0.32,0.63,,,0,1,22.2,,,5,,,,2.5,0,0,0,1,1,1,,,,,,,500 000,0,500 000,1s,900,0.15,0,0,2,3 050,0.6,1,1,1,1,1,,1,56,20%,1 200,756
2,Sledge II Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,149.6,149.6,525,55 125,525,0,0,17.1,1 151.2,2.81,3 235,105,0.2 - 0.2,,1,3.36,0.17,0.34,,,0,0.952,23.3,,,4.63,,,,1.5,0,0,0,1,1,1,,,,,,,500 000,0,500 000,1s,720,0.15,0,0,1.6,2 050,0.6,1,1,1,1,1,,1,33.9,20%,480,252
1,Sledge I Mass Driver Cannon,Klaus & Werner,Ballistic Cannon,75,75,225,23 625,225,0,0,20,1 155,2.6,3 003,105,0.2 - 0.2,,1,2.52,0.13,0.25,,,0,0.907,24.5,,,4.29,,,,1,0,0,0,1,1,1,,,,,,,500 000,0,500 000,1s,540,0.15,0,0,1.2,1 050,0.6,1,1,1,1,1,,1,20.6,20%,192,84
