description_key,mema_uec,rate_p50,dur_avg,avg_diff,avg_sat,runs
@searchbodyspace_desc_intro,141000,12,5,,,1
@EckhartSecurity_EliminateAll_DC_Desc_001,248571,4.28571428571429,14,,,1
@HaulCargo_AtoB_desc,108621,2.06896551724138,29,,,1
@Headhunters_SecurityPatrol_VE_Desc_001,84375,2.5,24,1,3,1
@HeadHunters_ShipAmbush_H_desc_001,1023000,12,5,3,5,1
@HeadHunters_ShipAmbush_H_desc_001,852500,10,6,,,1
@LingFamily_RecoverCargo_Easy_Description,80455,2.72727272727273,22,2,3,1
@LingFamily_RecoverCargo_Medium_Description,158571,2.85714285714286,21,1,4,1
@HeadHunters_DefendEntitesAndEscort_VE_Desc,367500,6,9.9,1,1.1,13
@Shubin_Industrial_ShipMining_Stanton_M_Solar_Desc_001,472500,10,46,,,3
@SalvageContractor_Description,,1.0086682427108,64,2,6,2
@headhunters_eliminateall_outpost_desc_01,236000,5.33333333333333,12,3,5,2
@blackbox_recover_desc_VE_001,184091,5.45454545454545,11.7,1.3,6,3
@Foxwell_EliminateAll_PAF_M_desc_001,231429,6.42857142857143,10.5,2.5,4,2
@Foxwell_ShipAmbush_VE_desc_001,135000,6,10.5,1.6,4.7,27
@FTL_Courier_Stanton_Medium_Desc_001,118696,2.60869565217391,23,1,5,2
@Headhunters_eliminateall_caves_desc_01,266000,6.33333333333333,10.5,3,5.5,4
@Shubin_Industrial_ShipMining_Pyro_M_Solar_Desc_001,115909,2.72727272727273,22,,,2
@SalvageContractor_Description,,2.06896551724138,28,1,7,3
@cfp_hauling_intro_desc_001,172125,3.375,18,2,3,2
@Hockrow_FacilityDelve_P2M3_Repeat_desc,315238,3.80952380952381,22.6,2.1,3.9,14
@HaulCargo_SingleToMulti_desc,234536,2.35714285714286,27.5,3,7,2
@HeadHunters_ShipAmbush_M_desc_001,246818,5.45454545454545,11,2,4,2
@HeadHunters_RecoverCargo_VeryEasy_Description,115000,5,12,1,4,1
@HaulCargo_AtoB_desc,157500,3,20,,,3
@Foxwell_ShipAmbush_S_desc_001,171000,0.75,10,,,1
@TheCollector_Conversion_Favors_Desc_2,,10,6,,,1
@HaulCargo_SingleToMulti_desc,82603,0.821917808219178,68.6,1,7,7
@Foxwell_DefendLocation_S_Desc_001,3534167,3.33333333333333,18,,,1
@Foxwell_DefendDestructibleEntites_VE_Desc_001,206250,7.5,8.7,2,6,3
@Shubin_Industrial_ShipMining_Stanton_VH_Secondary_Desc_001,1438412,7.76470588235294,11,,,2
@Eckhart_EscortShips_VE_desc,135000,4,17.9,1.3,1.8,15
@Hockrow_FacilityDelve_P2M1_desc,108261,2.60869565217391,25.2,2,3,5
@Shubin_Industrial_ShipMining_Pyro_M_Solar_Desc_001,85286,1.71428571428571,35,,,3
@bhg_bounty_desc_gen_001,161250,7.5,8.3,,,3
@LingFamily_RecoverCargo_Easy_Description,35400,1.2,50,2,,1
@LingFamily_RecoverCargo_VeryEasy_Description,15000,0.923076923076923,65,1,,1
@cfp_sabotage_generators_M_desc_001,206667,3.33333333333333,18,2,5,1
@cfp_sabotage_VH_desc_001,651000,4,15,4,6,1
@Hockrow_FacilityDelve_P1M1_desc,29976,1.39423076923077,36.8,1.5,3,4
@Shubin_Industrial_ShipMining_Stanton_M_Solar_Desc_001,203860,4.91228070175439,14,,,2
@vaughn_assassination_VE_desc_rehire,250714,8.57142857142857,7.7,2,4,3
@HaulCargo_AtoB_desc,161471,3.52941176470588,17,1,,1
@RedWind_HaulCargo_AToB_desc_ToPyro_Danger,151179,0.416470588235294,147.5,4,4,2
@eckhart_defendship_LRT_SB_desc_001,338182,5.45454545454545,11,3,4,1
@Foxwell_DefendEntitesAndEscort_VE_Desc,408333,6.66666666666667,9.2,2.2,3.8,15
@HaulCargo_AtoB_desc,113906,1.875,32,4,4,6
@cfp_EliminateSpecific_Generic_E_desc_001,263571,4.28571428571429,14,,,1
@HaulCargo_AtoB_desc,101500,2,30,,,1
@bhg_bounty_desc_ShatteredBlade_001,332500,10,6,,,2
@EckhartSecurity_RecoverCargo_VeryEasy_Description,86250,3.75,16,2,4,1
@GFS_ShipWaveAttack_Mission04_Desc,1196250,15,4.6,1.8,5.8,26
@HaulCargo_MultiToSingle_desc,115714,1.71428571428571,35,1,,1
@HaulCargo_AtoB_desc,106607,2.14285714285714,28,1,,1
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,109459,1.62162162162162,37,1,,1
@Covalex_HaulCargo_SingleToMulti_Processed_Stims,70000,1.66666666666667,36,1,,1
@HaulCargo_AtoB_desc,52125,1.5,36.3,1,,3
@bhg_bounty_desc_ShatteredBlade_001,61607,5.47619047619048,11.5,2,3.5,2
@BHG_ShipWaveAttack_DrawOutBoss_H_Desc_001,624286,2.85714285714286,21,5,6,1
@HaulCargo_AtoB_desc,57134,1.64414414414414,36.5,1,,2
@Foxwell_EliminateSpecific_desc_001,550714,8.57142857142857,7,1,6,3
@bhg_bounty_desc_gen_001,96429,8.57142857142857,5.5,1.2,1,13
@BHG_Certification_Easy_Desc,477000,12,4.7,1,2,3
@Intersec_ShipWaveAttack_DrawOutBoss_VH_Desc_001,298828,0.9375,32,,,1
@cfp_sabotage_generators_VE_desc_001,152000,4,15,3,5,1
@vaughn_assassination_description_M,930000,20,3,1,1,1
@searchbodyspace_desc_VE,178500,7.28571428571429,8.5,1,2,2
@CFP_RecoverCargo_Medium_Description,246000,4,15,2,5,1
@HaulCargo_AtoB_desc,585000,3.52941176470588,17,,,1
@vaughn_assassination_VE_desc_intro,390000,15,4,1,1,1
@BHG_ShipWaveAttack_DrawOutBoss_S_Desc_001,203222,0.444444444444444,45,6,5,1
@Covalex_HaulCargo_SingleToMulti_desc_RefinedOre_Mixed,132857,1.71428571428571,35,3,,1
@Adagio_Industrial_Salvage_Universal_E_Desc_002,43897,0.882352941176471,68,,,2
@cfp_maintenance_E_desc_001,165429,1.71428571428571,35,1,3,1
@TheCollector_Ships_Drake_Golem_Dec,,30,2,,,1
@CFP_SabotageRelays_XT_001_Desc,47010,0.618556701030928,97,,,1
@Foxwell_DefendLocation_H_Desc_001,1615000,4,15,3,5,1
@CFP_ShipWaveAttack_ClearHostiles_Desc_VE_001,159000,4,15.3,2.7,4,3
@cfp_defendship_VLRT_desc_001,316190,7.61904761904762,10,2,3.8,8
@RedWind_HaulCargo_SingleToMulti_desc_01,587045,2.72727272727273,22,,,1
@Covalex_RecoverCargo_Hard_Description,271000,4,15,,,2
@Foxwell_ShipAmbush_H_desc_001,1023000,12,5,,,2
@Shubin_Industrial_ShipMining_Nyx_M_Solar_Desc_001,99828,2.06896551724138,29,,,1
@cfp_bombingrun_E_desc_001,477214,7.28571428571429,9.2,1.8,4.7,6
@Intersec_KillShip_Desc_Hard_001,651969,3.875,15.3,3,4.7,40
@RedWind_HaulCargo_AToB_desc_01,583065,1.93548387096774,31,,,1
@bhg_bounty_desc_ASD_Research_001,322393,7.28571428571429,8.2,2.3,4,6
@RedWind_HaulCargo_AToB_desc_01,411627,1.3663967611336,45,,,2
@RedWind_HaulCargo_AToB_desc_01,447857,4.28571428571429,14,,,1
@RedWind_HaulCargo_AToB_waste_desc_01,348333,3.33333333333333,18,,,1
@FTL_Courier_Stanton_Easy_Desc_001,159643,4.28571428571429,26,1,5,32
@RedWind_HaulCargo_AToB_desc_01,447857,4.28571428571429,14,,,1
@RedWind_HaulCargo_AToB_desc_01,447857,4.28571428571429,14,,,1
@RedWind_HaulCargo_AToB_desc_01,418000,4,15,,,1
@CFP_ShipWaveAttack_ClearHostiles_Desc_VE_001,193636,5.45454545454545,11,1,4,1
@DeadSaints_HaulCargo_AToB_desc_Cryopods_Danger,77200,0.2,300,,,1
@BHG_ShipWaveAttack_DrawOutBoss_VH_Desc_001,1267534,4.07239819004525,15,,,2
@BHG_Certification_Medium_Desc,1020000,20,3,,,1
@Headhunters_DefendDestructibleEntites_E_Desc_001,122500,3.33333333333333,9,1,7,1
@GFS_ShipWaveAttack_Mission08_Desc,599571,1.71428571428571,37.4,,,5
@spacecollect_cargo_desc_VE_01,101250,3,20,,,1
@GFS_ShipWaveAttack_Mission06_Desc,2568750,15,4.6,1.5,6.4,43
@Foxwell_DefendDestructibleEntites_VE_Desc_001,305000,10,6,1,5,3
@UWC_Refueling_moderate_desc_001,184286,1.71428571428571,34.3,,,52
@Foxwell_DefendEntitesAndEscort_E_Desc,581083,6.33333333333333,9.5,3.7,5.3,4
@Intersec_DefendShip_Desc_Easy_001,655000,6.66666666666667,12.5,2.6,3.9,21
@Covalex_HaulCargo_AtoB_desc_FromLevski,286974,1.57894736842105,38,,,1
@Covalex_HaulCargo_AtoB_desc_FromLevski,323289,1.57894736842105,38,,,2
@searchbodyspace_desc_VE,129000,6,10,,,1
@Foxwell_DefendEntitesAndEscort_H_Desc,336500,1,12,6,5,1
@Covalex_HaulCargo_AtoB_desc_ToRuinStation,2198571,8.57142857142857,7,,,2
@Foxwell_DefendEntitesAndEscort_H_Desc,448667,1.33333333333333,15,4,5,1
@HaulCargo_AtoB_desc,14167,0.238095238095238,126,,,1
@HeadHunters_DefendEntitesAndEscort_VE_Desc,118548,1.93548387096774,28.8,2.4,2.6,13
@Intersec_KillShip_Desc_Medium_001,609375,4.80769230769231,11.9,3,5.4,44
@Foxwell_DefendEntitesAndEscort_E_Desc,500455,5.45454545454545,11,3,,2
@Foxwell_DefendEntitesAndEscort_VE_Desc,459375,7.5,7.8,,,6
@Foxwell_DefendDestructibleEntites_E_Desc_001,280000,7.61904761904762,9.5,1,6,8
@Headhunters_DefendDestructibleEntites_VE_Desc_001,166364,5.45454545454545,11,2,4,1
@vaughn_assassination_description_VH,1140000,12,5,2,6,1
@vaughn_assassination_FPS_UGF_illegal_desc_001,381000,6,14.3,2,5.7,9
@Covalex_HaulCargo_AToB_Intro_desc,215357,4.28571428571429,14,1,,1
@Kaboos_Intro_Description,489264,0.356996726677578,78.4,4.3,4.5,8
@LingFamily_RecoverCargo_Easy_Description,196500,6,10,,,1
@RedWind_HaulCargo_MultiToSingle_desc_01,709762,0.952380952380952,63,,,1
@HeadHunters_DefendEntitesAndEscort_VE_Desc,334091,5.45454545454545,12.7,1.3,3,9
@Kaboos_Mission_Description,1455512,1.06203007518797,75,3.7,3.5,22
@Foxwell_EliminateSpecific_NonHostiles_desc_001,532500,7.5,10.3,2,4.5,7
@RedWind_HaulCargo_MultiToSingle_desc_01,1342251,1.8010752688172,33.5,,,2
@Headhunters_DefendLocation_H_Desc_001,1345833,3.33333333333333,18,,,1
@Eckhart_ShipAmbush_VE_desc,196875,7.5,9.9,1.4,3.4,27
@headhunters_HaulCargo_RegionLink_desc_001,363261,2.60869565217391,23,,,1
@HeadHunters_DefendEntitesAndEscort_E_Desc,504625,5.5,11,1,2,2
@searchbodyspace_desc_M,223750,5,13.3,,,3
@vaughn_assassination_description_E,441000,12,5.7,2,3,3
@vaughn_assassination_description_VE,195000,6.66666666666667,9,2,3,2
@Hockrow_FacilityDelve_P2M2_Repeat_desc,103653,1.671826625387,35.9,3.8,3.8,8
@Eckhart_EscortShips_H_desc,1211250,3,20,,,1
@Headhunters_DefendDestructibleEntites_E_Desc_001,275625,7.5,8,4,5,1
@Adagio_Industrial_Salvage_Universal_E_Desc_001,246250,5,11.3,1,4.5,7
@Hockrow_FacilityDelve_P3M1_desc,633699,0.821917808219178,53.4,4.3,5.9,29
@TheCollector_Recipes_Desc_HeavyUtil,,1.25,48,,,1
@Headhunters_DefendDestructibleEntites_E_Desc_001,275625,7.5,8,,,1
@Eckhart_EscortShips_M_desc,795000,4,14.3,1.3,1.7,4
@Intersec_TSG_BombRun_Solo_Desc_001,336429,8.57142857142857,11.7,3.1,5,65
@searchbodyspace_desc_E,235714,8.57142857142857,7,1,2,1
@vaughn_assassination_description_M,234126,5.03496503496504,12,2,3,2
@searchbodyspace_desc_M,223750,5,12,1,2,1
@Covalex_HaulCargo_AtoB_desc_FromLevski,290143,1.71428571428571,35,3,7,1
@shubin_rockcracker_pvp_desc_01,,0.0833333333333333,240,,,1
@HeadHunters_ShipAmbush_M_desc_001,452500,10,6,,,1
@Hockrow_FacilityDelve_P2M3_desc,110643,1.33707865168539,44.5,1,5,4
@headhunters_defendship_LRT_PA_desc_001,310000,5,12,,,1
@headhunters_defend_xt_desc_001,27578,0.372670807453416,161,,,2
@Shubin_Industrial_ShipMining_Stanton_M_Solar_Desc_001,2227500,30,2,,,23
@HaulCargo_AtoB_desc,275455,5.45454545454545,11,,,1
@DeadSaints_HaulCargo_SingleToMulti_desc_Stormwal_Danger_Timed,540849,1.13207547169811,53,,,1
@bhg_bounty_desc_gen_001,322500,15,4.8,1.5,4.3,8
@bhg_bounty_desc_FPS_intro,88214,9.28571428571428,7.8,1.3,3.3,8
@Intersec_KillShip_Vanduul_Desc_VeryHard_001,1177500,6,10.1,2,3.3,11
@Foxwell_ShipWaveAttack_ClearHostiles_Desc_VE_001,355000,10,7.3,1.2,4.8,36
@Shubin_Industrial_ShipMining_Nyx_H_Secondary_Desc_001,2805000,30,9,,,4
@RedWind_HaulCargo_AToB_desc_FromPyro_Danger,665870,1.30434782608696,46,,,50
@InterSec_SecurityPatrol_H_Desc_001,381000,2.4,26.5,4.3,4.4,42
